"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"3593","Cephalopholis sexmaculata","fusiform / normal","reef-associated",6,150,33.23,50,"subsistence fisheries","very high",0.5
"3594","Cephalopholis sonnerati","fusiform / normal","reef-associated",10,150,46.24,57,"commercial","very high",0.5
"3595","Cephalopholis spiloparaea","fusiform / normal","reef-associated",15,108,29.46,30,"minor commercial","very high",0.5
"3596","Cephalopholis urodeta","fusiform / normal","reef-associated",1,60,13.87,28,"subsistence fisheries","very high",0.5
"3597","Cromileptes altivelis","short and / or deep","reef-associated",2,40,33.52,70,"commercial","very high",1
"3598","Dermatolepis striolata","fusiform / normal","reef-associated",1,15,58.27,85,"subsistence fisheries","very high",0.625
"3599","Epinephelus amblycephalus","fusiform / normal","reef-associated",80,130,42.39,50,"minor commercial","very high",0.5
"3600","Mesopristes argenteus","short and / or deep","benthopelagic",NA,NA,36.26,30,"minor commercial","unknown",0.5312
"3601","Epinephelus coioides","fusiform / normal","reef-associated",1,100,57.51,120,"commercial","high",0.5
"3602","Epinephelus corallicola","fusiform / normal","reef-associated",1,30,40.78,49,"subsistence fisheries","very high",0.5
"3603","Epinephelus fasciatomaculosus","fusiform / normal","reef-associated",15,30,32.04,30,"commercial","very high",0.5
"3604","Epinephelus lanceolatus","fusiform / normal","reef-associated",1,200,86.23,270,"subsistence fisheries","very high",0.5
"3605","Epinephelus magniscuttis","fusiform / normal","reef-associated",50,300,53.08,150,"commercial","very high",0.5
"3606","Epinephelus marginatus","fusiform / normal","reef-associated",8,300,71.52,150,"highly commercial","very high",0.5
"3607","Epinephelus melanostigma","fusiform / normal","reef-associated",0,30,34.24,35,"subsistence fisheries","very high",0.5
"3608","Epinephelus ongus","fusiform / normal","reef-associated",20,60,33.34,40,"minor commercial","very high",0.5
"3609","Epinephelus polyphekadion","fusiform / normal","reef-associated",1,46,52.06,90,"commercial","very high",0.5
"3610","Epinephelus quoyanus","fusiform / normal","reef-associated",NA,50,36.4,40,"commercial","very high",0.5
"3611","Epinephelus undulosus","fusiform / normal","reef-associated",24,90,70.96,120,"minor commercial","very high",0.5
"3612","Gracila albomarginata","fusiform / normal","reef-associated",6,120,36.4,40,"minor commercial","very high",1
"3613","Variola albimarginata","fusiform / normal","reef-associated",4,200,28.91,65,"subsistence fisheries","very high",0.75
"3614","Taeniurops meyeni","other","reef-associated",1,500,76.55,330,"commercial","low",1
"3615","Anarchias allardicei","eel-like","reef-associated",0,NA,20.93,17,"of no interest",NA,0.5005
"3616","Anarchias cantonensis","eel-like","reef-associated",NA,NA,24.35,21.9,NA,"medium",0.5005
"3617","Echidna leucotaenia","eel-like","reef-associated",0,24,53.22,75,NA,"medium",0.5005
"3618","Echidna unicolor","eel-like","reef-associated",5,25,34.18,40,NA,"medium",0.5005
"3619","Enchelycore bayeri","eel-like","reef-associated",1,64,50.51,70,NA,"medium",0.5002
"3620","Enchelycore schismatorhynchus","eel-like","reef-associated",5,35,66.78,120,NA,"medium",0.5002
"3621","Enchelynassa canina","eel-like","reef-associated",1,30,83.93,250,NA,"medium",1
"3622","Gymnothorax buroensis","eel-like","reef-associated",0,25,33.75,38.7,"of no interest",NA,0.5
"3623","Gymnothorax enigmaticus","eel-like","reef-associated",NA,NA,42.26,58,NA,"medium",0.5
"3624","Gymnothorax fimbriatus","eel-like","reef-associated",7,50,54.5,80,"subsistence fisheries","medium",0.5
"3625","Gymnothorax fuscomaculatus","eel-like","reef-associated",NA,25,23.44,20,NA,"medium",0.5
"3626","Gymnothorax gracilicauda","eel-like","reef-associated",6,20,30.77,32,NA,"medium",0.5
"3627","Gymnothorax hepaticus","eel-like","reef-associated",0,30,59.14,100,"of no interest",NA,0.5
"3628","Pseudanthias tuka","fusiform / normal","reef-associated",2,40,16.74,12,NA,"very high",0.5
"3629","Aeoliscus strigatus","elongated","reef-associated",2,42,24.15,15,"of no interest","unknown",0.7502
"3630","Pomacanthus imperator","short and / or deep","reef-associated",1,100,49.97,40,"minor commercial","high",0.5001
"3631","Myripristis vittata","fusiform / normal","reef-associated",3,80,18.94,25,NA,"medium",0.5
"3632","Myripristis adusta","fusiform / normal","reef-associated",1,25,25.16,35,"minor commercial","medium",0.5
"3633","Sargocentron spiniferum","fusiform / normal","reef-associated",1,122,39.66,51,"minor commercial","medium",0.5
"3634","Chaetodon xanthurus","short and / or deep","reef-associated",6,50,12.93,14,NA,"unknown",0.5
"3635","Amphiprion ocellaris","fusiform / normal","reef-associated",1,15,22.69,11,"of no interest","unknown",0.5
"3636","Centriscus scutatus","elongated","reef-associated",2,100,24.15,15,NA,"unknown",0.7502
"3637","Chaetodon aureofasciatus","short and / or deep","reef-associated",5,15,10,12.5,NA,"unknown",0.5
"3638","Chaetodon austriacus","short and / or deep","reef-associated",1,15,12.47,13,NA,"unknown",0.5
"3639","Chaetodon adiergastos","short and / or deep","reef-associated",1,30,15.01,20,NA,"unknown",0.5
"3640","Chaetodon assarius","short and / or deep","reef-associated",1,40,10,13,NA,"unknown",0.5
"3641","Abudefduf bengalensis","short and / or deep","reef-associated",1,6,28.25,17,"minor commercial","unknown",0.5
"3642","Amblygobius linki","elongated","reef-associated",1,10,14.21,6.5,NA,"very high",0.5001
"3643","Amphiprion frenatus","short and / or deep","reef-associated",1,12,25.07,14,NA,"unknown",0.5
"3644","Amphiprion sandaracinos","fusiform / normal","reef-associated",3,20,25.07,14,NA,"unknown",0.5
"3645","Ostorhinchus endekataenia","elongated","reef-associated",25,30,15.01,14,NA,"high",0.5
"3646","Apolemichthys trimaculatus","short and / or deep","reef-associated",3,60,31.05,26,"minor commercial","high",0.502
"3647","Arothron stellatus","short and / or deep","reef-associated",3,58,61.07,120,"of no interest",NA,0.5
"3648","Chaetodon flavirostris","short and / or deep","reef-associated",2,30,15.01,20,NA,"unknown",0.5
"3649","Chaetodon guentheri","short and / or deep","reef-associated",5,40,13.79,18,NA,"unknown",0.5
"3650","Oplegnathus robinsoni","short and / or deep","reef-associated",20,100,38.27,60,"commercial","unknown",0.5156
"3651","Johnius dussumieri","fusiform / normal","demersal",NA,40,20.37,40,"minor commercial","medium",0.5
"3652","Acanthopagrus schlegelii","short and / or deep","demersal",15,NA,40.77,50,"commercial","high",0.5
"3653","Oplegnathus fasciatus","short and / or deep","reef-associated",1,10,49.52,80,"commercial","unknown",0.5156
"3654","Sebastes schlegelii","fusiform / normal","demersal",3,100,67.89,65,NA,"medium",0.5
"3655","Girella punctata","short and / or deep","reef-associated",NA,NA,38.5,50,"commercial","unknown",0.5
"3656","Oplegnathus punctatus","short and / or deep","reef-associated",3,135,37.09,86,"commercial","unknown",0.5156
"3657","Canthigaster bennetti","short and / or deep","reef-associated",1,15,10,10,NA,"very high",0.5
"3658","Canthigaster compressa","short and / or deep","reef-associated",2,25,12.93,12,"of no interest",NA,0.5
"3659","Canthigaster janthinoptera","short and / or deep","reef-associated",1,30,10,9,NA,"very high",0.5
"3660","Canthigaster valentini","short and / or deep","reef-associated",1,55,10,11,NA,"very high",0.5
"3661","Centropyge tibicen","short and / or deep","reef-associated",4,55,25.85,19,NA,"high",0.5
"3662","Centropyge multispinis","short and / or deep","reef-associated",1,30,21.97,14,NA,"high",0.5
"3663","Chaetodon ornatissimus","short and / or deep","reef-associated",1,36,15.01,20,"minor commercial","unknown",0.5
"3664","Chromis analis","short and / or deep","reef-associated",10,144,28.25,17,NA,"unknown",0.5
"3665","Diodon liturosus","short and / or deep","reef-associated",1,90,29.57,65,"minor commercial","unknown",0.5313
"3666","Dischistodus chrysopoecilus","fusiform / normal","reef-associated",1,5,26.31,15,NA,"unknown",0.5078
"3667","Lactoria diaphana","short and / or deep","reef-associated",8,50,18.08,34,"of no interest",NA,0.5625
"3668","Ostracion cubicus","short and / or deep","reef-associated",1,280,23.35,45,"minor commercial","high",0.5039
"3669","Ostracion meleagris","short and / or deep","reef-associated",1,30,13.16,25,"subsistence fisheries","high",0.5039
"3670","Oxymonacanthus longirostris","short and / or deep","reef-associated",1,35,20.07,12,"of no interest","unknown",0.75
"3671","Paraluteres prionurus","short and / or deep","reef-associated",1,25,17.89,11,NA,"unknown",0.75
"3672","Parapercis clathrata","elongated","reef-associated",3,50,30.85,24,NA,"unknown",0.5
"3673","Parapercis cylindrica","elongated","reef-associated",1,20,30.26,23,"minor commercial","unknown",0.5
"3674","Pomacanthus sexstriatus","short and / or deep","reef-associated",3,60,41.14,46,"subsistence fisheries","high",0.5001
"3675","Pseudanthias huchtii","fusiform / normal","reef-associated",3,30,16.74,12,NA,"very high",0.5
"3676","Pseudanthias squamipinnis","fusiform / normal","reef-associated",0,55,22.97,15,"minor commercial","very high",0.5
"3677","Pseudanthias pleurotaenia","fusiform / normal","reef-associated",0,180,24.95,20,NA,"very high",0.5
"3678","Pseudanthias randalli","fusiform / normal","reef-associated",15,120,13.79,9.5,NA,"very high",0.5
"3679","Pygoplites diacanthus","short and / or deep","reef-associated",0,80,37.68,25,"minor commercial","high",1
"3680","Sargocentron ittodai","fusiform / normal","reef-associated",5,70,14.62,20,NA,"medium",0.5
"3681","Valenciennea strigata","fusiform / normal","reef-associated",1,25,10,18,NA,"very high",0.5
"3682","Sillago japonica","elongated","demersal",0,30,24.24,30,"commercial","very high",0.5
"3683","Ostracion solorensis","short and / or deep","reef-associated",1,20,10,12,"of no interest",NA,0.5039
"3684","Canthigaster solandri","short and / or deep","reef-associated",10,36,10.53,11.5,NA,"very high",0.5
"3685","Gymnothorax richardsonii","eel-like","reef-associated",1,15,31.73,34,NA,"medium",0.5
"3686","Bodianus bilunulatus","fusiform / normal","reef-associated",3,160,53.04,55,"minor commercial","very high",0.5
"3687","Neoniphon opercularis","fusiform / normal","reef-associated",3,25,25.16,35,"minor commercial","medium",0.5312
"3688","Cheilodactylus zonatus","fusiform / normal","benthopelagic",NA,NA,43.8,45,"commercial","unknown",0.5
"3689","Thalassoma cupido","elongated","demersal",NA,NA,28.6,20,NA,"very high",0.5
"3690","Benthosema suborbitale","fusiform / normal","bathypelagic",50,2500,18.14,3.9,NA,"high",0.5312
"3691","Diaphus dumerilii","fusiform / normal","pelagic-oceanic",0,805,10,8.7,NA,"high",0.5
"3692","Lepidophanes guentheri","elongated","pelagic-oceanic",40,750,10,7.8,NA,"high",0.75
"3693","Arothron reticularis","short and / or deep","reef-associated",1,25,41.73,45,"of no interest",NA,0.5
"3694","Awaous melanocephalus","fusiform / normal","benthopelagic",NA,NA,27.08,15,"minor commercial","very high",0.5
"3695","Choerodon jordani","fusiform / normal","reef-associated",15,30,25.85,17,NA,"very high",0.5
"3696","Hexagrammos otakii","elongated","demersal",139,155,34.44,57,"commercial","unknown",0.5159
"3697","Chromis leucura","fusiform / normal","reef-associated",20,119,17.13,8.5,NA,"unknown",0.5
"3698","Jaydia poecilopterus","fusiform / normal","demersal",19,146,18.47,14,NA,"high",0.5
"3699","Chrysiptera starcki","fusiform / normal","reef-associated",20,60,17.15,7,NA,"unknown",0.5
"3700","Chrysiptera tricincta","fusiform / normal","reef-associated",10,90,12.47,6,NA,"unknown",0.5
"3701","Diploprion bifasciatum","short and / or deep","reef-associated",1,100,29.29,25,NA,"very high",0.75
"3702","Cirrhitichthys aprinus","short and / or deep","reef-associated",5,40,10,12.5,"subsistence fisheries","unknown",0.5039
"3703","Ostorhinchus fasciatus","short and / or deep","reef-associated",2,128,11.53,10.3,"of no interest",NA,0.5
"3704","Chaetodon pelewensis","short and / or deep","reef-associated",1,30,10,12.5,NA,"unknown",0.5
"3705","Dischistodus prosopotaenia","fusiform / normal","reef-associated",1,12,29.33,18.5,NA,"unknown",0.5078
"3706","Verasper moseri","short and / or deep","demersal",1,900,47.03,70,"commercial","medium",0.75
"3707","Chelonodon patoca","short and / or deep","reef-associated",4,60,37.84,38,"minor commercial","very high",0.5625
"3708","Thamnaconus modestus","short and / or deep","reef-associated",NA,NA,35.93,36,NA,"unknown",0.5001
"3709","Genicanthus lamarck","short and / or deep","reef-associated",10,50,30.01,25,"minor commercial","high",0.501
"3710","Chaetodon plebeius","short and / or deep","reef-associated",NA,10,11.53,15,"minor commercial","unknown",0.5
"3711","Halichoeres miniatus","fusiform / normal","reef-associated",1,10,23.67,14,NA,"very high",0.5
"3712","Choerodon monostigma","fusiform / normal","demersal",10,40,31.66,25,NA,"very high",0.5
"3713","Nemateleotris decora","elongated","reef-associated",25,70,10,9,NA,"unknown",0.625
"3714","Dexillus muelleri","short and / or deep","demersal",NA,NA,26.64,18,NA,"very high",1
"3715","Parma polylepis","short and / or deep","reef-associated",1,40,31.23,21,NA,"unknown",0.501
"3716","Pomacentrus lepidogenys","short and / or deep","reef-associated",1,12,23.12,9,"highly commercial","unknown",0.5
"3717","Pomacentrus nigromarginatus","fusiform / normal","reef-associated",20,50,16.21,8,NA,"unknown",0.5
"3718","Stethojulis trilineata","fusiform / normal","reef-associated",0,20,12.72,15,"subsistence fisheries","very high",0.501
"3719","Sargocentron rubrum","fusiform / normal","reef-associated",1,84,16.59,32,"minor commercial","medium",0.5
"3720","Parupeneus spilurus","fusiform / normal","reef-associated",10,80,36.98,50,"commercial","medium",0.5
"3721","Pseudochromis fuscus","elongated","reef-associated",2,30,10,10,NA,"unknown",0.5
"3722","Plectorhinchus diagrammus","short and / or deep","reef-associated",NA,NA,35.96,40,"commercial","medium",0.5
"3723","Nemateleotris magnifica","elongated","reef-associated",6,70,10,9,"of no interest","unknown",0.625
"3724","Abudefduf vaigiensis","short and / or deep","reef-associated",1,15,15.82,20,"subsistence fisheries","unknown",0.5
"3725","Chaetodon rainfordi","short and / or deep","reef-associated",1,15,11.53,15,NA,"unknown",0.5
"3726","Premnas biaculeatus","short and / or deep","reef-associated",1,16,28.25,17,NA,"unknown",1
"3727","Stethojulis interrupta","fusiform / normal","reef-associated",NA,18,22.77,13,"of no interest",NA,0.501
"3728","Chaetodon selene","short and / or deep","reef-associated",8,50,12.47,16,"minor commercial","unknown",0.5
"3729","Cantherhines pardalis","short and / or deep","reef-associated",2,20,30.81,25,"minor commercial","high",0.5002
"3730","Elates ransonnettii","elongated","demersal",5,53,21.69,19,"minor commercial","high",1
"3731","Grammatobothus polyophthalmus","short and / or deep","demersal",0,90,33.18,21,"commercial","very high",0.625
"3732","Paramonacanthus filicauda","short and / or deep","demersal",NA,NA,29.13,22,NA,"unknown",1
"3733","Pseudorhombus spinosus","short and / or deep","demersal",NA,NA,38.93,30,"commercial","very high",0.5
"3734","Trixiphichthys weberi","short and / or deep","demersal",NA,65,34.51,30,"minor commercial","unknown",1.0078
"3735","Upeneus sundaicus","fusiform / normal","demersal",20,60,23.83,22,"commercial","high",0.5
"3736","Euristhmus lepturus","elongated","demersal",NA,NA,35.3,46,NA,"unknown",0.5312
"3737","Centropyge nox","short and / or deep","reef-associated",3,70,15.39,10,NA,"high",0.5
"3738","Chaetodon auripes","short and / or deep","reef-associated",1,30,15.01,20,NA,"unknown",0.5
"3739","Sphyraena helleri","elongated","reef-associated",10,104,49.97,80,NA,"medium",0.5
"3740","Chelmon marginalis","short and / or deep","reef-associated",1,30,13.79,18,NA,"unknown",0.625
"3741","Chelmon muelleri","short and / or deep","reef-associated",2,10,15.17,20.5,NA,"unknown",0.625
"3742","Abudefduf abdominalis","short and / or deep","reef-associated",1,50,35.77,30,NA,"unknown",0.5
"3743","Conger cinereus","eel-like","reef-associated",1,80,71.61,140,"commercial","medium",0.5
"3744","Acanthochromis polyacanthus","short and / or deep","reef-associated",1,65,25.07,14,NA,"unknown",1
"3745","Chromis chrysura","short and / or deep","reef-associated",6,45,16.73,14,NA,"unknown",0.5
"3746","Coris dorsomacula","fusiform / normal","reef-associated",2,40,37.49,38,NA,"very high",0.5
"3747","Corythoichthys amplexus","eel-like","reef-associated",0,31,10,10,"of no interest","unknown",0.5002
"3748","Epinephelus hexagonatus","fusiform / normal","reef-associated",0,30,17.33,27.5,"minor commercial","very high",0.5
"3749","Epinephelus macrospilos","fusiform / normal","reef-associated",3,44,42.43,51,"commercial","very high",0.5
"3750","Gymnothorax eurostus","eel-like","reef-associated",1,74,48.54,60,NA,"medium",0.5
"3751","Halichoeres nebulosus","fusiform / normal","reef-associated",1,40,21.39,12,NA,"very high",0.5
"3752","Halichoeres ornatissimus","fusiform / normal","reef-associated",4,15,27.03,18,NA,"very high",0.5
"3753","Chaetodon argentatus","short and / or deep","reef-associated",5,20,15.01,20,"minor commercial","unknown",0.5
"3754","Chaetodon wiebeli","short and / or deep","reef-associated",4,25,14.21,19,NA,"unknown",0.5
"3755","Centropyge ferrugata","short and / or deep","reef-associated",6,30,15.39,10,NA,"high",0.5
"3756","Canthigaster rivulata","short and / or deep","reef-associated",0,350,15.39,18,"of no interest",NA,0.5
"3757","Cheilodipterus arabicus","fusiform / normal","reef-associated",3,25,24.1,18,NA,"high",0.5
"3758","Parapercis millepunctata","elongated","reef-associated",3,50,26.64,18,NA,"unknown",0.5
"3759","Amblyeleotris guttata","elongated","reef-associated",10,40,26.92,11,NA,"very high",0.5
"3760","Amanses scopas","short and / or deep","reef-associated",3,18,27.34,20,"minor commercial","unknown",1
"3761","Parapercis tetracantha","elongated","reef-associated",12,25,32.08,26,NA,"unknown",0.5
"3762","Amblygobius albimaculatus","fusiform / normal","reef-associated",NA,10,35.81,18,NA,"very high",0.5001
"3763","Chrysiptera hemicyanea","fusiform / normal","reef-associated",1,38,14.21,7,NA,"unknown",0.5
"3764","Pomacentrus alexanderae","short and / or deep","reef-associated",5,60,18.89,9,NA,"unknown",0.5
"3765","Neoglyphidodon thoracotaeniatus","short and / or deep","reef-associated",10,45,24.75,13.5,NA,"unknown",0.502
"3766","Pomachromis richardsoni","fusiform / normal","reef-associated",5,25,14.62,6,"of no interest","unknown",0.5625
"3767","Bodianus oxycephalus","fusiform / normal","reef-associated",NA,NA,43.3,29,NA,"very high",0.5
"3768","Choerodon robustus","short and / or deep","reef-associated",40,70,36.26,35,"commercial","very high",0.5
"3769","Chromis ovatiformes","short and / or deep","reef-associated",10,40,20.93,10,NA,"unknown",0.5
"3770","Halichoeres melanochir","fusiform / normal","reef-associated",5,25,27.03,18,NA,"very high",0.5
"3771","Naso maculatus","fusiform / normal","reef-associated",43,220,38.55,60,NA,"medium",0.5
"3772","Naso thynnoides","fusiform / normal","reef-associated",2,40,39.55,40,"commercial","medium",0.5
"3773","Naso minor","fusiform / normal","reef-associated",8,55,34.54,30,NA,"medium",0.5
"3774","Pseudanthias pascalus","fusiform / normal","reef-associated",5,60,24.95,20,NA,"very high",0.5
"3775","Plectorhinchus lineatus","fusiform / normal","reef-associated",1,35,36.8,72,"minor commercial","medium",0.5
"3776","Xanthichthys lineopunctatus","short and / or deep","reef-associated",NA,50,31.02,30,"subsistence fisheries","medium",0.5156
"3777","Pseudanthias cichlops","fusiform / normal","reef-associated",20,40,16.55,9.5,NA,"very high",0.5
"3778","Myxine australis","eel-like","demersal",10,100,45.42,60,"of no interest",NA,0.5
"3779","Bathyraja eatonii","other","demersal",NA,NA,67.82,100,"commercial","high",0.5
"3780","Bathyraja maccaini","other","demersal",167,500,73.71,120,"subsistence fisheries","medium",0.5
"3781","Bathyraja murrayi","other","demersal",NA,800,58.65,60,"minor commercial","medium",0.5
"3782","Amblyraja georgiana","other","bathydemersal",20,350,58.7,100,"subsistence fisheries","high",0.501
"3783","Amblyraja taaf","other","bathydemersal",300,500,55.38,90,"subsistence fisheries","medium",0.501
"3784","Halosauropsis macrochir","eel-like","bathydemersal",1100,3300,34.31,90,NA,"unknown",1
"3785","Polyacanthonotus challengeri","eel-like","bathypelagic",777,4560,47.06,60,NA,"unknown",0.563
"3786","Diastobranchus capensis","eel-like","bathydemersal",183,2000,80.94,180,"of no interest","unknown",1
"3787","Histiobranchus bathybius","eel-like","benthopelagic",295,5440,46.45,137,"of no interest","unknown",0.625
"3788","Nansenia antarctica","elongated","bathypelagic",0,4145,16.84,22,NA,"unknown",0.5
"3789","Bathylagus antarcticus","elongated","bathypelagic",0,4000,44.84,14,NA,"unknown",0.5078
"3790","Bathylagus gracilis","elongated","bathypelagic",0,2800,52.64,21.7,"of no interest","unknown",0.5078
"3791","Bathylagus tenuis",NA,"bathypelagic",0,2600,42.99,16,"of no interest","unknown",0.5078
"3792","Narcetes stomias","elongated","bathypelagic",1500,2300,63.43,57.5,"of no interest","unknown",0.5312
"3793","Rouleina attrita","elongated","bathypelagic",450,2300,57.79,48,NA,"unknown",0.501
"3794","Normichthys yahganorum","fusiform / normal","bathypelagic",0,2000,10.01,16.4,"of no interest","unknown",0.625
"3795","Cyclothone pallida","elongated","bathypelagic",16,4663,35.19,4.8,"of no interest","unknown",0.5001
"3796","Cyclothone pseudopallida","elongated","bathypelagic",0,4938,14.62,4.6,"of no interest","unknown",0.5001
"3797","Argyropelecus hemigymnus","short and / or deep","bathypelagic",0,2400,13.42,5.1,"of no interest","unknown",0.5078
"3798","Sternoptyx pseudodiaphana","short and / or deep","bathypelagic",0,1500,18.53,6,"of no interest","unknown",0.5625
"3799","Idiacanthus atlanticus","elongated","bathypelagic",1239,2000,53.66,53,"of no interest","unknown",0.625
"3800","Stomias gracilis",NA,"bathypelagic",200,1250,38.97,26,NA,"unknown",0.501
"3801","Trigonolampa miriceps","elongated","bathypelagic",NA,1860,41.73,32,NA,"unknown",1
"3802","Benthalbella elongata",NA,"bathypelagic",500,NA,32.7,35,NA,"unknown",0.5313
"3803","Benthalbella macropinna","elongated","bathypelagic",0,840,19.28,24,"of no interest","unknown",0.5313
"3804","Scopelosaurus hamiltoni","elongated","benthopelagic",NA,1000,40.85,50,"of no interest","unknown",0.5001
"3805","Arctozenus risso","elongated","bathypelagic",0,2200,34.17,30,"of no interest","unknown",1
"3806","Magnisudis prionosa","elongated","bathypelagic",0,1000,44.37,55,NA,"unknown",0.625
"3807","Notolepis annulata","elongated","bathypelagic",NA,2050,26.59,30,NA,"unknown",0.75
"3808","Notolepis coatsi","elongated","bathypelagic",0,2000,40.87,38,"of no interest","unknown",0.75
"3809","Ceratoscopelus warmingii","elongated","bathypelagic",391,2056,31.66,8.1,NA,"high",0.625
"3810","Diaphus hudsoni","elongated","bathypelagic",0,840,32.58,8.4,NA,"high",0.5
"3811","Diaphus ostenfeldi","fusiform / normal","bathypelagic",NA,350,37.13,12,NA,"high",0.5
"3812","Electrona antarctica","fusiform / normal","demersal",1,1010,40.13,11.5," ","high",0.5312
"3813","Electrona carlsbergi","elongated","bathypelagic",1,1008,24.2,11.2,NA,"high",0.5312
"3814","Electrona paucirastra","elongated","bathypelagic",0,NA,29.4,7,NA,"high",0.5312
"3815","Electrona subaspera","elongated","bathypelagic",0,NA,38.03,12.7,NA,"high",0.5312
"3816","Gymnoscopelus bolini","elongated","benthopelagic",NA,4200,56.71,28,"minor commercial","high",0.5039
"3817","Gymnoscopelus braueri","elongated","bathypelagic",NA,2700,38.45,13.2,"minor commercial","high",0.5039
"3818","Gymnoscopelus nicholsi","elongated","bathypelagic",300,NA,40.01,16.1,"minor commercial","high",0.5039
"3819","Gymnoscopelus opisthopterus","elongated","bathypelagic",550,900,40.01,16.2,NA,"high",0.5039
"3820","Gymnoscopelus fraseri","elongated","bathypelagic",50,250,32.92,8.8,"minor commercial","high",0.5039
"3821","Gymnoscopelus hintonoides","elongated","bathypelagic",2200,2350,38.81,14,NA,"high",0.5039
"3822","Gymnoscopelus piabilis","elongated","benthopelagic",NA,NA,39.31,14.6,NA,"high",0.5039
"3823","Hintonia candens","elongated","bathypelagic",NA,NA,38.03,13,NA,"high",1
"3824","Krefftichthys anderssoni","elongated","bathypelagic",NA,2700,29.4,7.1,NA,"high",1
"3825","Nannobrachium achirus","elongated","bathypelagic",NA,NA,40.01,16.2,NA,"high",0.5
"3826","Nannobrachium atrum","elongated","bathypelagic",60,1100,38.81,14,NA,"high",0.5
"3827","Lampanyctus australis","elongated","pelagic-oceanic",NA,NA,38.56,13.1,NA,"high",0.5
"3828","Lampanyctus intricarius","elongated","bathypelagic",40,750,45.8,20,NA,"high",0.5
"3829","Lampanyctus macdonaldi","elongated","bathypelagic",60,1464,26.31,16,NA,"high",0.5
"3830","Lampichthys procerus","elongated","bathypelagic",0,2000,29.54,10,NA,"high",1
"3831","Metelectrona ventralis","fusiform / normal","bathypelagic",0,426,10.04,10.7,NA,"high",0.625
"3832","Protomyctophum parallelum","fusiform / normal","bathypelagic",NA,2500,23.48,5,"of no interest",NA,0.5
"3833","Protomyctophum andriashevi","fusiform / normal","bathypelagic",50,332,26.58,6,"of no interest",NA,0.5
"3834","Protomyctophum bolini","fusiform / normal","bathypelagic",364,728,28.47,6.7,NA,"high",0.5
"3835","Protomyctophum choriodon","fusiform / normal","bathypelagic",NA,NA,34.36,9.5,"of no interest",NA,0.5
"3836","Protomyctophum gemmatum","fusiform / normal","bathypelagic",NA,2000,32.58,8.6,NA,"high",0.5
"3837","Protomyctophum normani","fusiform / normal","bathypelagic",NA,NA,25.45,5.6,"of no interest",NA,0.5
"3838","Protomyctophum tenisoni","elongated","pelagic-oceanic",96,NA,24.9,5.4,"of no interest",NA,0.5
"3839","Taaningichthys bathyphilus","elongated","bathypelagic",400,1550,31.66,8,NA,"high",0.625
"3840","Lycenchelys antarctica","eel-like","bathydemersal",3248,5320,41.01,24.8,"of no interest","unknown",0.5
"3841","Lycenchelys hureaui",NA,"bathydemersal",560,937,35.66,26.6,"of no interest","unknown",0.5
"3842","Lycodapus antarcticus",NA,"bathypelagic",323,1200,31.84,22.5,"of no interest","unknown",0.5001
"3843","Lycodapus pachysoma","elongated","bathypelagic",1160,3100,30.09,20,"of no interest","unknown",0.5001
"3844","Lycodichthys antarcticus","elongated","bathydemersal",195,540,32.89,24,"of no interest","unknown",0.75
"3845","Melanostigma bathium",NA,"bathypelagic",370,2635,22.52,11.4,"of no interest","unknown",0.5078
"3846","Melanostigma gelatinosum","eel-like","bathypelagic",44,2561,38,29,NA,"unknown",0.5078
"3847","Melanostigma vitiazi","elongated","bathypelagic",0,890,27.77,17,"of no interest","unknown",0.5078
"3848","Ophthalmolycus amberensis",NA,"bathydemersal",140,826,43.62,35,"of no interest","unknown",0.502
"3849","Ophthalmolycus bothriocephalus",NA,"bathydemersal",293,744,28.88,18.3,"of no interest","unknown",0.502
"3850","Pachycara brachycephalum",NA,"bathydemersal",200,1810,43.62,35,"of no interest","unknown",0.5
"3851","Aethotaxis mitopteryx mitopteryx","fusiform / normal","bathypelagic",NA,850,68.03,42,"of no interest",NA,1
"3852","Dissostichus mawsoni","fusiform / normal","pelagic-oceanic",0,2200,80.52,200,"minor commercial","low",0.75
"3853","Gobionotothen acuta","fusiform / normal","demersal",30,300,51.52,35,NA,"high",0.5312
"3854","Gobionotothen gibberifrons","fusiform / normal","demersal",6,429,68.66,55,"minor commercial","very high",0.5312
"3855","Gobionotothen marionensis","fusiform / normal","benthopelagic",100,150,31.6,20,NA,"high",0.5312
"3856","Lepidonotothen squamifrons","fusiform / normal","benthopelagic",10,900,62.83,55,"minor commercial","low",1
"3857","Lindbergichthys nudifrons","fusiform / normal","demersal",3,400,37.12,19.5,NA,"high",0.75
"3858","Nototheniops larseni","fusiform / normal","benthopelagic",30,750,34.38,24,NA,"high",0.625
"3859","Pagothenia borchgrevinki","fusiform / normal","pelagic-oceanic",0,550,52.22,28,"of no interest",NA,0.75
"3860","Paranotothenia magellanica","fusiform / normal","pelagic-oceanic",0,255,40.57,38,"commercial","high",0.75
"3861","Trematomus bernacchii","fusiform / normal","demersal",0,700,64.39,28,"commercial","high",0.5005
"3862","Trematomus eulepidotus","fusiform / normal","demersal",70,650,61.06,34,"commercial","high",0.5005
"3863","Trematomus hansoni","fusiform / normal","demersal",6,549,66.25,41,NA,"high",0.5005
